City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,brasilia de minas,-16.2064,-44.4333,70.48399999999998,75,1,5.15,BR,1714965841
67,howard springs,-12.497,131.047,90.82400000000001,61,9,4.41,AU,1714965841
68,stanley,54.868,-1.6985,51.27800000000002,97,75,0.51,GB,1714965841
69,orsa,54.5153,30.4053,46.057999999999936,75,77,1.88,BY,1714965842
70,coquimbo,-29.9533,-71.3436,53.329999999999984,82,0,2.06,CL,1714965842
71,silver city,32.7701,-108.2803,68.37799999999999,15,0,4.92,US,1714965842
72,lichtenburg,-26.152,26.1597,51.583999999999946,42,94,0.47,ZA,1714965842
73,mossel bay,-34.1831,22.146,57.127999999999986,74,7,2.36,ZA,1714965842
74,ghanzi,-21.5667,21.7833,60.31400000000002,46,0,2.61,BW,1714965843
75,blagodarnyy,45.0978,43.4364,45.96800000000002,92,100,1.0,RU,1714965843
76,sovetskaya gavan',48.9723,140.2878,38.10200000000003,99,100,2.97,RU,1714965843
77,tromso,69.6496,18.957,33.81800000000004,69,100,2.57,NO,1714965843
78,chonchi,-42.6128,-73.8092,42.115999999999985,96,96,1.77,CL,1714965844
79,georgetown,5.4112,100.3354,91.34600000000006,62,20,3.09,MY,1714965844
80,roma,43.2128,-75.4557,56.821999999999946,96,100,2.57,US,1714965844
81,obo,5.3998,26.4869,72.75200000000001,65,25,1.53,CF,1714965844
82,zalingei,12.9096,23.4741,76.892,12,0,2.6,SD,1714965844
83,changleng,28.7,115.8167,73.77800000000008,72,96,2.25,CN,1714965845
84,touros,-5.1989,-35.4608,79.75399999999996,84,79,6.01,BR,1714965845
85,vorgashor,67.5833,63.95,6.7999999999999545,96,100,1.23,RU,1714965845
86,anadyr,64.75,177.4833,28.903999999999996,69,0,3.0,RU,1714965845
87,college,64.8569,-147.8028,58.98200000000003,40,75,6.69,US,1714965577
88,korla,41.7597,86.1469,83.51600000000002,8,1,6.85,CN,1714965846
89,malango,-2.9627,119.9001,77.14400000000006,77,100,1.39,ID,1714965846
90,hermanus,-34.4187,19.2345,54.80599999999998,74,31,5.35,ZA,1714965846
91,daru,-9.0763,143.2092,79.57400000000001,86,100,6.79,PG,1714965846
92,banda aceh,5.5577,95.3222,86.27000000000004,70,72,0.8,ID,1714965722
93,margaret river,-33.95,115.0667,66.23600000000005,65,43,4.8,AU,1714965689
94,shingu,33.7333,135.9833,66.9919999999999,84,100,3.34,JP,1714965847
95,berdigestyakh,62.0989,126.6992,37.057999999999936,100,100,1.52,RU,1714965847
96,gaspe,48.8334,-64.4819,46.615999999999985,71,100,2.06,CA,1714965847
97,santa cruz,-17.8,-63.1667,76.4600000000001,100,40,4.63,BO,1714965847
98,stony plain,53.5334,-114.0021,58.72999999999996,41,40,8.23,CA,1714965847
99,paracuru,-3.41,-39.0306,82.11200000000002,92,100,3.72,BR,1714965848
100,codrington,-38.2667,141.9667,61.37600000000003,60,7,6.25,AU,1714965848
101,dakhla,23.6848,-15.958,64.45400000000001,83,5,8.55,EH,1714965848
102,charallave,10.2425,-66.8572,81.96800000000002,84,70,0.91,VE,1714965848
103,greymouth,-42.4667,171.2,53.87000000000006,69,100,1.67,NZ,1714965849
104,udachny,66.4167,112.4,31.44199999999995,81,84,4.59,RU,1714965849
105,fale old settlement,-9.3852,-171.2468,85.13600000000002,76,57,2.73,TK,1714965849
106,fortuna,40.5982,-124.1573,52.664000000000044,81,75,0.45,US,1714965800
107,niwari,28.8833,77.5333,96.94400000000002,16,0,1.92,IN,1714965849
108,ascension,30.2169,-90.9001,77.08999999999997,86,0,3.09,US,1714965850
109,turpan,42.9333,89.1667,92.58800000000002,6,3,3.87,CN,1714965850
110,chui,-33.6971,-53.4616,66.88399999999996,96,94,1.26,UY,1714965850
111,akureyri,65.6835,-18.0878,37.32800000000003,70,20,3.6,IS,1714965850
112,galle,6.0367,80.217,85.98200000000003,75,79,3.59,LK,1714965599
113,minas de marcona,-15.2119,-75.1103,60.44,88,74,4.95,PE,1714965851
114,at-bashi,41.1702,75.8106,52.59199999999993,68,67,0.86,KG,1714965851
115,rawlins,41.7911,-107.2387,55.29199999999997,35,0,9.26,US,1714965572
116,punta del este,-34.9667,-54.95,64.50799999999998,97,100,2.24,UY,1714965851
117,bairnsdale,-37.8333,147.6167,63.05000000000001,73,100,1.79,AU,1714965851
118,san andres,12.5847,-81.7006,84.21800000000002,79,20,4.12,CO,1714965852
119,port lincoln,-34.7333,135.8667,62.04199999999997,71,2,5.46,AU,1714965852
120,carnarvon,-24.8667,113.6333,74.53399999999993,43,0,7.87,AU,1714965852
121,remire-montjoly,4.9167,-52.2667,78.83600000000007,100,75,3.09,GF,1714965852
122,kapuskasing,49.4169,-82.4331,46.48999999999995,71,100,2.57,CA,1714965852
123,wanning,18.8003,110.3967,86.37799999999999,67,100,4.39,CN,1714965853
124,iskateley,67.6803,53.1512,19.02199999999999,88,87,1.79,RU,1714965853
125,manay,7.215,126.5397,84.79400000000004,66,100,4.53,PH,1714965853
126,dravograd,46.5881,15.0192,52.01599999999996,96,54,1.45,SI,1714965853
127,meadow lakes,61.6247,-149.6011,54.68000000000001,83,100,2.06,US,1714965853
128,arkhangel'sk,64.5401,40.5433,30.307999999999936,86,40,3.0,RU,1714965680
129,san patricio,28.017,-97.5169,79.844,78,97,5.23,US,1714965854
130,lakatoro,-16.0999,167.4164,82.094,70,57,7.34,VU,1714965854
131,muynoq,43.7683,59.0214,64.76000000000005,44,42,5.26,UZ,1714965855
132,labytnangi,66.6572,66.4183,12.379999999999995,88,49,2.42,RU,1714965855
133,taksimo,56.3444,114.8794,62.54599999999999,37,66,0.69,RU,1714965855
134,bilibino,68.0546,166.4372,32.43199999999996,75,11,0.99,RU,1714965855
135,antofagasta,-23.65,-70.4,58.28000000000003,85,40,2.45,CL,1714965856
136,yuzhno-kurilsk,44.0306,145.8556,48.379999999999995,92,100,1.88,RU,1714965856
137,thunder bay,48.4001,-89.3168,44.581999999999994,65,0,0.0,CA,1714965856
138,thompson,55.7435,-97.8558,42.96199999999999,70,20,1.54,CA,1714965643
139,port mathurin,-19.6833,63.4167,79.08800000000002,62,1,9.22,MU,1714965856
140,port elizabeth,-33.918,25.5701,70.32199999999995,39,0,3.09,ZA,1714965857
141,pont rouge,48.8833,-72.0825,52.08800000000002,93,100,3.58,CA,1714965857
142,saynshand,44.8824,110.1163,66.56,16,2,4.26,MN,1714965857
143,tabas,33.5959,56.9244,78.11599999999993,25,0,1.04,IR,1714965857
144,dawesville,30.9224,-84.0091,75.36200000000002,80,75,1.54,US,1714965858
145,sos'va,59.1766,61.8558,36.049999999999955,50,20,3.13,RU,1714965858
146,zavetnoye,47.1194,43.8903,43.91599999999994,48,0,2.57,RU,1714965858
147,togur,58.3631,82.8265,36.139999999999986,78,67,2.68,RU,1714965858
148,warrnambool,-38.3833,142.4833,60.584,62,0,5.52,AU,1714965858
149,aasiaat,68.7098,-52.8699,6.386000000000024,96,85,2.59,GL,1714965859
150,kuusamo,65.9667,29.1833,28.436000000000035,69,0,4.63,FI,1714965859
151,sinabang,2.4803,96.3801,84.39799999999997,77,73,0.94,ID,1714965859
152,warrenton,-28.114,24.8475,60.656000000000006,36,0,2.76,ZA,1714965859
153,bethanie,-26.4833,17.15,65.22800000000001,33,0,1.82,NA,1714965860
154,waiuku,-37.25,174.75,66.68599999999998,78,85,1.58,NZ,1714965860
155,undurkhaan,47.3194,110.6556,64.18399999999991,27,0,2.74,MN,1714965860
156,qaqortoq,60.7167,-46.0333,30.902000000000044,66,0,2.16,GL,1714965860
157,wabag,-5.4781,143.7021,66.27199999999999,92,100,1.16,PG,1714965860
